experiment,group,data,Label,Metric,statistic,bias,std.error,conf.low,conf.high,N,F1_chance
felt touch,ASD,,attention,Recall,0.9470588235294117,-2.1130102648481142e-4,0.012206500022931732,0.9215315878934676,0.9697861938047418,2041,0.28559428811423776
felt touch,ASD,,attention,Precision,0.563922942206655,5.675695662902269e-4,0.020862377398383012,0.5236427320490368,0.6073846285329666,2041,0.28559428811423776
felt touch,ASD,,attention,Specificity,0.9877551020408163,-2.912717984426827e-5,0.00288622159408783,0.9816974239095255,0.9932476896314086,2041,0.28559428811423776
felt touch,ASD,,attention,F1,0.7069154774972557,1.6054659245179348e-4,0.017269618122369518,0.6726701455152743,0.7412844751764617,2041,0.28559428811423776
felt touch,ASD,,love,Recall,0.5735294117647058,2.7605431721133833e-4,0.026813283875343742,0.521898288894319,0.625,2041,0.28559428811423776
felt touch,ASD,,love,Precision,0.6112852664576802,0.0015741582146776567,0.026849453021350736,0.5584488903523248,0.6644311103318711,2041,0.28559428811423776
felt touch,ASD,,love,Specificity,0.9157955865272939,-8.669275286043998e-5,0.006508620673307059,0.90285524239429,0.9279801609499992,2041,0.28559428811423776
felt touch,ASD,,love,F1,0.5918057663125948,5.469002711238069e-4,0.022850738266020826,0.5451559934318555,0.6344277076247428,2041,0.28559428811423776
felt touch,ASD,,happiness,Recall,0.3489736070381232,-7.188984644320717e-4,0.024968707915211084,0.29971181556195964,0.3980305975987113,2041,0.28559428811423776
felt touch,ASD,,happiness,Precision,0.6296296296296297,-0.0027385650822142615,0.03467220370497284,0.5591474261435613,0.6948949909704443,2041,0.28559428811423776
felt touch,ASD,,happiness,Specificity,0.8801295896328294,-2.701872371438929e-4,0.00749713577231468,0.8646761745518428,0.8949868775575947,2041,0.28559428811423776
felt touch,ASD,,happiness,F1,0.449056603773585,-0.001744359364527437,0.026064744707454676,0.3975457162948594,0.49815392027832045,2041,0.28559428811423776
felt touch,ASD,,calming,Recall,0.5882352941176471,4.0553513151975196e-4,0.026454617394292914,0.5352603316463617,0.6419923004503552,2041,0.28559428811423776
felt touch,ASD,,calming,Precision,0.4878048780487805,1.278559198030771e-4,0.024095801310796142,0.43829393841228154,0.5354504182663625,2041,0.28559428811423776
felt touch,ASD,,calming,Specificity,0.9141630901287554,1.9344789962005837e-4,0.0068278928192579205,0.9003691204343068,0.9275177674848176,2041,0.28559428811423776
felt touch,ASD,,calming,F1,0.5333333333333332,-7.36124356214285e-5,0.02172875783046596,0.4886944514697997,0.5770725007469685,2041,0.28559428811423776
felt touch,ASD,,sadness,Recall,0.31176470588235294,-4.108266985087261e-4,0.02521409189051507,0.2612812533119874,0.36102044311996484,2041,0.28559428811423776
felt touch,ASD,,sadness,Precision,0.6091954022988506,-0.002099281705315592,0.03660987046997376,0.5325542804017597,0.6795276408639527,2041,0.28559428811423776
felt touch,ASD,,sadness,Specificity,0.8746652383502946,-5.663015866474996e-5,0.007602515258387364,0.8595538512631538,0.8891847980481097,2041,0.28559428811423776
felt touch,ASD,,sadness,F1,0.4124513618677043,-0.0013197824294130522,0.027336586633146424,0.35656069294544296,0.4638676513667884,2041,0.28559428811423776
felt touch,ASD,,gratitude,Recall,0.27058823529411763,-6.542663518094294e-4,0.023737517373383397,0.22581428140665877,0.31790132890641043,2041,0.28559428811423776
felt touch,ASD,,gratitude,Precision,0.5111111111111111,-0.001678252573450556,0.037709735069121765,0.4317207799615435,0.5846647471710308,2041,0.28559428811423776
felt touch,ASD,,gratitude,Specificity,0.8667383127350886,-9.541881791874651e-5,0.008119480481594445,0.8503020114053902,0.8823505526587352,2041,0.28559428811423776
felt touch,ASD,,gratitude,F1,0.35384615384615387,-0.0014025094063733756,0.026625435884863366,0.30001045476164834,0.40435207408533624,2041,0.28559428811423776
felt touch,Control,,attention,Recall,0.9764705882352941,9.291482089412995e-5,0.008376632677823287,0.9590673594785541,0.9914040114613181,2040,0.28559428811423776
felt touch,Control,,attention,Precision,0.6916666666666667,7.166429159101151e-4,0.021945786491998992,0.646951949250865,0.7361687112842313,2040,0.28559428811423776
felt touch,Control,,attention,Specificity,0.9948717948717949,4.001224782723689e-6,0.0018554610587525836,0.9909737131975842,0.9980879541108987,2040,0.28559428811423776
felt touch,Control,,attention,F1,0.8097560975609757,3.2279874810081655e-4,0.01562843032500605,0.77764966376624,0.84012658532059,2040,0.28559428811423776
felt touch,Control,,love,Recall,0.8058823529411765,-3.928876264169823e-5,0.02141233873241157,0.7624393692269525,0.8466015989596961,2040,0.28559428811423776
felt touch,Control,,love,Precision,0.738544474393531,5.768891786012142e-4,0.023409542539466338,0.6940509915014165,0.7840813594170578,2040,0.28559428811423776
felt touch,Control,,love,Specificity,0.9604553624925105,-1.3588849620660426e-5,0.004817386351385882,0.9505932605303197,0.9692300611741693,2040,0.28559428811423776
felt touch,Control,,love,F1,0.770745428973277,4.875443452700967e-5,0.017933225896885525,0.7349232904420623,0.8046256655523188,2040,0.28559428811423776
felt touch,Control,,happiness,Recall,0.711764705882353,1.7264731196575678e-4,0.02423786944557477,0.663768115942029,0.7581108856660574,2040,0.28559428811423776
felt touch,Control,,happiness,Precision,0.9132075471698113,-2.5482649032515514e-4,0.01722164271747519,0.8789128659038556,0.9467594360840557,2040,0.28559428811423776
felt touch,Control,,happiness,Specificity,0.9447887323943662,-2.1752293876187156e-4,0.005448391597595865,0.9338910235010583,0.9552493467396379,2040,0.28559428811423776
felt touch,Control,,happiness,F1,0.8,-2.457502281324464e-4,0.017669075592253537,0.7628567947779031,0.8330730659896705,2040,0.28559428811423776
felt touch,Control,,calming,Recall,0.6970588235294117,-4.357358065681938e-4,0.02574371914380715,0.6472489122384012,0.748348897539025,2040,0.28559428811423776
felt touch,Control,,calming,Precision,0.5254988913525499,-5.892125640061252e-4,0.024752117521267436,0.47619308344322714,0.5742969905848624,2040,0.28559428811423776
felt touch,Control,,calming,Specificity,0.935179358086847,2.41445978422683e-4,0.006274458721404408,0.9230398975170735,0.947727762775654,2040,0.28559428811423776
