experiment,group,data,F1_micro,bias,std.error,conf.low,conf.high,N,F1_chance
felt touch,ASD,,0.5324407826982492,-1.5587102260439245e-4,0.010751862977322708,0.5110576156367639,0.5525223048091324,2041,0.28559428811423776
felt touch,Control,,0.6582214340005067,-6.109176557931306e-4,0.010422358892595471,0.6370819031417991,0.6784688127610148,2040,0.28559428811423776
viewed touch,Control,,0.571078431372549,5.416220401555094e-4,0.024083682264445835,0.5246367681471473,0.6176416311627677,438,0.28559428811423776
viewed touch,ASD,,0.5925925925925926,-0.0025740522012395184,0.047493127693427506,0.49302649315970765,0.6815541634670823,114,0.28559428811423776
