PID,group,task,trial,cued,response
R_eJUoqZ20XPkMKaJ,Control,forced choice,3,attention,2.8000000000000007
R_eJUoqZ20XPkMKaJ,Control,forced choice,4,calming,6.199999999999999
R_eJUoqZ20XPkMKaJ,Control,forced choice,5,gratitude,0.40000000000000036
R_eJUoqZ20XPkMKaJ,Control,forced choice,6,sadness,-2.8
R_12fISp10CMwgFwt,Control,forced choice,1,gratitude,-1.4000000000000004
R_12fISp10CMwgFwt,Control,forced choice,2,attention,0.5999999999999996
R_12fISp10CMwgFwt,Control,forced choice,3,sadness,1
R_12fISp10CMwgFwt,Control,forced choice,4,calming,7.800000000000001
R_12fISp10CMwgFwt,Control,forced choice,5,happiness,4.4
R_12fISp10CMwgFwt,Control,forced choice,6,love,10
R_2tu3htDnO44cb65,Control,free text,1,sadness,5
R_2tu3htDnO44cb65,Control,free text,2,calming,-1.4000000000000004
R_2tu3htDnO44cb65,Control,free text,3,gratitude,7.399999999999999
R_2tu3htDnO44cb65,Control,free text,4,happiness,-6
R_2tu3htDnO44cb65,Control,free text,5,attention,5.4
R_2tu3htDnO44cb65,Control,free text,6,love,-8
R_2gIsbawvs1x7zDX,Control,forced choice,1,attention,-6.2
R_2gIsbawvs1x7zDX,Control,forced choice,2,sadness,5.4
R_2gIsbawvs1x7zDX,Control,forced choice,3,gratitude,-8.8
R_2gIsbawvs1x7zDX,Control,forced choice,4,calming,5.800000000000001
R_2gIsbawvs1x7zDX,Control,forced choice,5,love,10
R_2gIsbawvs1x7zDX,Control,forced choice,6,happiness,10
R_bpZKSycK13TLHwJ,Control,free text,1,calming,-1.8000000000000007
R_bpZKSycK13TLHwJ,Control,free text,2,love,-1
R_bpZKSycK13TLHwJ,Control,free text,3,happiness,-2.2
R_bpZKSycK13TLHwJ,Control,free text,4,gratitude,6.199999999999999
R_bpZKSycK13TLHwJ,Control,free text,5,sadness,2.5999999999999996
R_bpZKSycK13TLHwJ,Control,free text,6,attention,-2.8
R_3HitAhOgoOyQ8iN,Control,forced choice,1,gratitude,4.4
R_3HitAhOgoOyQ8iN,Control,forced choice,2,happiness,3.4000000000000004
R_3HitAhOgoOyQ8iN,Control,forced choice,3,sadness,-6.6
R_3HitAhOgoOyQ8iN,Control,forced choice,4,love,9.2
R_3HitAhOgoOyQ8iN,Control,forced choice,5,attention,-3.4000000000000004
R_3HitAhOgoOyQ8iN,Control,forced choice,6,calming,-0.8000000000000007
R_21j0rTJlKsZyaKL,Control,free text,1,calming,-2.4000000000000004
R_21j0rTJlKsZyaKL,Control,free text,2,happiness,-1
R_21j0rTJlKsZyaKL,Control,free text,3,attention,0.1999999999999993
R_21j0rTJlKsZyaKL,Control,free text,4,gratitude,1.4000000000000004
R_21j0rTJlKsZyaKL,Control,free text,5,love,0.5999999999999996
R_21j0rTJlKsZyaKL,Control,free text,6,sadness,-2.8
R_2CrIYD6MZV848bT,Control,forced choice,1,sadness,4.800000000000001
R_2CrIYD6MZV848bT,Control,forced choice,2,attention,-6
R_2CrIYD6MZV848bT,Control,forced choice,3,gratitude,-10
R_2CrIYD6MZV848bT,Control,forced choice,4,happiness,-10
R_2CrIYD6MZV848bT,Control,forced choice,5,love,10
R_2CrIYD6MZV848bT,Control,forced choice,6,calming,3.8000000000000007
R_DuyOlK8uSrEzTW1,ASD,free text,1,happiness,-10
R_DuyOlK8uSrEzTW1,ASD,free text,2,attention,-10
R_DuyOlK8uSrEzTW1,ASD,free text,3,calming,6.199999999999999
R_DuyOlK8uSrEzTW1,ASD,free text,4,gratitude,-10
R_DuyOlK8uSrEzTW1,ASD,free text,5,love,7.399999999999999
R_DuyOlK8uSrEzTW1,ASD,free text,6,sadness,9.399999999999999
R_2Btb86a0sGyB0Hl,Control,free text,1,attention,-2
R_2Btb86a0sGyB0Hl,Control,free text,2,gratitude,-2
R_2Btb86a0sGyB0Hl,Control,free text,3,calming,9.600000000000001
R_2Btb86a0sGyB0Hl,Control,free text,4,happiness,-4.6
R_2Btb86a0sGyB0Hl,Control,free text,5,sadness,8.399999999999999
R_2Btb86a0sGyB0Hl,Control,free text,6,love,-8.2
R_vrwpqt1h2QWdNsJ,Control,forced choice,1,love,10
R_vrwpqt1h2QWdNsJ,Control,forced choice,2,attention,-6.2
R_vrwpqt1h2QWdNsJ,Control,forced choice,3,happiness,0
R_vrwpqt1h2QWdNsJ,Control,forced choice,4,gratitude,-0.40000000000000036
R_vrwpqt1h2QWdNsJ,Control,forced choice,5,sadness,-2.5999999999999996
R_vrwpqt1h2QWdNsJ,Control,forced choice,6,calming,-2.5999999999999996
R_2q44JuXjBZJvVtI,ASD,forced choice,1,attention,-2.8
R_2q44JuXjBZJvVtI,ASD,forced choice,2,sadness,0.1999999999999993
R_2q44JuXjBZJvVtI,ASD,forced choice,3,calming,10
R_2q44JuXjBZJvVtI,ASD,forced choice,4,gratitude,-4.6
R_2q44JuXjBZJvVtI,ASD,forced choice,5,happiness,4.199999999999999
R_2q44JuXjBZJvVtI,ASD,forced choice,6,love,10
R_wXh0YTjsGDmVoVb,ASD,free text,1,gratitude,-3.8
R_wXh0YTjsGDmVoVb,ASD,free text,2,calming,6.800000000000001
R_wXh0YTjsGDmVoVb,ASD,free text,3,love,8.600000000000001
R_wXh0YTjsGDmVoVb,ASD,free text,4,happiness,-3.8
R_wXh0YTjsGDmVoVb,ASD,free text,5,attention,-10
R_wXh0YTjsGDmVoVb,ASD,free text,6,sadness,-7
R_2dHfj7dAs0fzddK,Control,free text,1,sadness,10
R_2dHfj7dAs0fzddK,Control,free text,2,attention,10
R_2dHfj7dAs0fzddK,Control,free text,3,gratitude,10
R_2dHfj7dAs0fzddK,Control,free text,4,calming,10
R_2dHfj7dAs0fzddK,Control,free text,5,happiness,7.199999999999999
R_2dHfj7dAs0fzddK,Control,free text,6,love,9.399999999999999
R_2ClzDR05jZBcSyf,Control,forced choice,1,sadness,5.6
R_2ClzDR05jZBcSyf,Control,forced choice,2,attention,-1.8000000000000007
R_2ClzDR05jZBcSyf,Control,forced choice,3,gratitude,-4.2
R_2ClzDR05jZBcSyf,Control,forced choice,4,calming,7.199999999999999
R_2ClzDR05jZBcSyf,Control,forced choice,5,happiness,-5.6
R_2ClzDR05jZBcSyf,Control,forced choice,6,love,-10
R_3lKzOtQNJgt8RCp,ASD,free text,1,gratitude,-3
R_3lKzOtQNJgt8RCp,ASD,free text,2,calming,7.600000000000001
R_3lKzOtQNJgt8RCp,ASD,free text,3,attention,-10
R_3lKzOtQNJgt8RCp,ASD,free text,4,love,10
R_3lKzOtQNJgt8RCp,ASD,free text,5,happiness,-10
R_3lKzOtQNJgt8RCp,ASD,free text,6,sadness,-3.4000000000000004
R_ue4cYZ0KxfG9spX,Control,free text,1,attention,-3
R_ue4cYZ0KxfG9spX,Control,free text,2,sadness,-4.6
R_ue4cYZ0KxfG9spX,Control,free text,3,gratitude,-5.6
R_ue4cYZ0KxfG9spX,Control,free text,4,love,-4.8
R_ue4cYZ0KxfG9spX,Control,free text,5,calming,-1
R_ue4cYZ0KxfG9spX,Control,free text,6,happiness,-7.4
R_21uIb37lY5Fwtfc,ASD,forced choice,1,attention,-0.5999999999999996
R_21uIb37lY5Fwtfc,ASD,forced choice,2,happiness,2.8000000000000007
R_21uIb37lY5Fwtfc,ASD,forced choice,3,sadness,3.8000000000000007
R_21uIb37lY5Fwtfc,ASD,forced choice,4,love,10
R_21uIb37lY5Fwtfc,ASD,forced choice,5,calming,4
R_21uIb37lY5Fwtfc,ASD,forced choice,6,gratitude,-1.4000000000000004
R_2ypUDtUxDdt1eGg,Control,forced choice,1,love,8.399999999999999
R_2ypUDtUxDdt1eGg,Control,forced choice,2,happiness,1
R_2ypUDtUxDdt1eGg,Control,forced choice,3,calming,-4.6
R_2ypUDtUxDdt1eGg,Control,forced choice,4,attention,-2.5999999999999996
R_2ypUDtUxDdt1eGg,Control,forced choice,5,gratitude,-4.4
R_2ypUDtUxDdt1eGg,Control,forced choice,6,sadness,-5.2
R_2zeye9XVamQcnYX,Control,free text,1,love,4
R_2zeye9XVamQcnYX,Control,free text,2,gratitude,3.1999999999999993
R_2zeye9XVamQcnYX,Control,free text,3,calming,-2
R_2zeye9XVamQcnYX,Control,free text,4,happiness,10
R_2zeye9XVamQcnYX,Control,free text,5,attention,-3
R_2zeye9XVamQcnYX,Control,free text,6,sadness,-6.4
R_2S2oHwoBXqHkejj,ASD,free text,1,attention,-5.4
R_2S2oHwoBXqHkejj,ASD,free text,2,sadness,6.800000000000001
R_2S2oHwoBXqHkejj,ASD,free text,3,happiness,2
R_2S2oHwoBXqHkejj,ASD,free text,4,gratitude,4.4
R_2S2oHwoBXqHkejj,ASD,free text,5,calming,3.5999999999999996
R_2S2oHwoBXqHkejj,ASD,free text,6,love,10
R_2CwUdUbXSvdMV9F,Control,forced choice,1,love,3.5999999999999996
R_2CwUdUbXSvdMV9F,Control,forced choice,2,attention,-2.2
R_2CwUdUbXSvdMV9F,Control,forced choice,3,gratitude,-1.8000000000000007
R_2CwUdUbXSvdMV9F,Control,forced choice,4,calming,1.5999999999999996
R_2CwUdUbXSvdMV9F,Control,forced choice,5,happiness,-4.2
R_2CwUdUbXSvdMV9F,Control,forced choice,6,sadness,2.1999999999999993
R_12PZ3fRvApBemXj,Control,forced choice,1,sadness,5.4
R_12PZ3fRvApBemXj,Control,forced choice,2,attention,-9.2
R_12PZ3fRvApBemXj,Control,forced choice,3,gratitude,2.4000000000000004
R_12PZ3fRvApBemXj,Control,forced choice,4,love,10
R_12PZ3fRvApBemXj,Control,forced choice,5,calming,-2
R_12PZ3fRvApBemXj,Control,forced choice,6,happiness,-5.4
R_3CPjNWWTYyeUfUQ,Control,free text,1,attention,2.5999999999999996
R_3CPjNWWTYyeUfUQ,Control,free text,2,happiness,-4.4
R_3CPjNWWTYyeUfUQ,Control,free text,3,sadness,7.600000000000001
R_3CPjNWWTYyeUfUQ,Control,free text,4,love,9.2
R_3CPjNWWTYyeUfUQ,Control,free text,5,gratitude,0.5999999999999996
R_3CPjNWWTYyeUfUQ,Control,free text,6,calming,8.600000000000001
R_3HuEN0MZTrCa7Rj,Control,forced choice,1,sadness,8.2
