experiment,group,data,Label,Metric,statistic,bias,std.error,conf.low,conf.high
felt touch,ASD,,attention,Recall,1,0,0,NA,NA
felt touch,ASD,,attention,Precision,0.5333333333333333,7.383136990724015e-5,0.09593722123745262,0.3333333333333333,0.7240892623164646
felt touch,ASD,,attention,Specificity,1,0,0,NA,NA
felt touch,ASD,,attention,F1,0.6956521739130436,-0.005114004056983812,0.083195791059953,0.5,0.8399672192634768
felt touch,ASD,,attention,F1chance,0.2857142857142857,-0.0029242339490048175,0.05760428158890523,0.17142857142857143,0.4
felt touch,ASD,,love,Recall,0.625,-0.0012550328288543078,0.12208654627968868,0.375,0.8666666666666667
felt touch,ASD,,love,Precision,0.5263157894736842,0.010082078744613865,0.11547056502625273,0.3125,0.7647058823529411
felt touch,ASD,,love,Specificity,0.922077922077922,-0.0016436630610932035,0.029580140727669214,0.8625,0.9746835443037974
felt touch,ASD,,love,F1,0.5714285714285714,-0.0017454072187612635,0.10060500147326565,0.35714285714285715,0.7567567567567567
felt touch,ASD,,love,F1chance,0.2857142857142857,0.0032566112080258947,0.054990053794571114,0.17142857142857143,0.4
felt touch,ASD,,happiness,Recall,0.375,-0.006178301037148948,0.1257130885070181,0.13333333333333333,0.6363636363636364
felt touch,ASD,,happiness,Precision,0.75,-0.004951841459194362,0.1635124586236416,0.4,1
felt touch,ASD,,happiness,Specificity,0.8863636363636364,-0.0010821328591497092,0.03503668334379038,0.8089887640449438,0.9522393841039207
felt touch,ASD,,happiness,F1,0.5,-0.018408691583774117,0.1303009310422879,0.2001752073848657,0.7221657665093212
felt touch,ASD,,happiness,F1chance,0.2857142857142857,-0.0019744399843329985,0.056681024402484466,0.17142857142857143,0.4
felt touch,ASD,,calming,Recall,0.625,0.0010459493466113967,0.12729548023287207,0.36363636363636365,0.875
felt touch,ASD,,calming,Precision,0.45454545454545453,-0.005526233854051543,0.10607927764859225,0.25,0.6666666666666666
felt touch,ASD,,calming,Specificity,0.918918918918919,8.570028525065609e-4,0.03263366469053944,0.851391740971074,0.975
felt touch,ASD,,calming,F1,0.5263157894736842,-0.009876941201405587,0.10104607448852182,0.3001954236215809,0.7026340403491744
felt touch,ASD,,calming,F1chance,0.2857142857142857,-0.004332857850364136,0.05883993747239576,0.17142857142857143,0.4
felt touch,ASD,,sadness,Recall,0.1875,-9.604464718860894e-4,0.09855708670933211,0,0.3997790863408219
felt touch,ASD,,sadness,Precision,1,-0.039000000000000035,0.19369180807797864,0,1
felt touch,ASD,,sadness,Specificity,0.8602150537634409,-6.345959288248659e-4,0.035318999557707446,0.7849462365591398,0.925531914893617
felt touch,ASD,,sadness,F1,0.3157894736842105,-0.012845721029077328,0.13913849950455973,0,0.5712017404392369
felt touch,ASD,,sadness,F1chance,0.2857142857142857,-9.820999501571892e-4,0.05500067903002099,0.17142857142857143,0.3865546218487395
felt touch,ASD,,gratitude,Recall,0.125,0.0019611605618921613,0.08768755123271839,0,0.3333333333333333
felt touch,ASD,,gratitude,Precision,0.3333333333333333,-0.002885361860361868,0.2101283287461658,0,0.75
felt touch,ASD,,gratitude,Specificity,0.8444444444444444,0.001696119209241509,0.03853906803503106,0.7634562070018156,0.9222222222222223
felt touch,ASD,,gratitude,F1,0.18181818181818182,-0.004954476874918012,0.11277050244668418,0,0.4
felt touch,ASD,,gratitude,F1chance,0.2857142857142857,-0.004222468055223971,0.05540081126535491,0.17142857142857143,0.3865546218487395
felt touch,Control,,attention,Recall,0.95,0.002015221745291451,0.04970757779723741,0.8333333333333334,1
felt touch,Control,,attention,Precision,0.5428571428571428,0.0020871216422959638,0.08442403799919919,0.3783783783783784,0.7208748435956275
felt touch,Control,,attention,Specificity,0.9882352941176471,5.818117058727923e-4,0.011534452830256628,0.9629629629629629,1
felt touch,Control,,attention,F1,0.6909090909090908,-0.0016027715989408442,0.07235652325819943,0.5366330301516051,0.8266519390893882
felt touch,Control,,attention,F1chance,0.2857142857142857,-0.0021961242874118936,0.04832801448586552,0.19548872180451127,0.37837837837837834
felt touch,Control,,love,Recall,0.65,-0.0024877416846730283,0.10947122418332103,0.42124364714891366,0.8571428571428571
felt touch,Control,,love,Precision,0.7222222222222222,-0.0030588532265095614,0.10550859264162074,0.5,0.9090909090909091
felt touch,Control,,love,Specificity,0.9313725490196079,-0.0017192650638301332,0.02580505862629157,0.875,0.9795810352590113
felt touch,Control,,love,F1,0.6842105263157895,-0.009043940375516812,0.08714937315005608,0.4801231761008753,0.8260219819160985
felt touch,Control,,love,F1chance,0.2857142857142857,0.0015975036179657898,0.05010316667840506,0.19548872180451127,0.38926174496644295
felt touch,Control,,happiness,Recall,0.55,0.0010790386010207653,0.11498490599006742,0.3333333333333333,0.7824859658415194
felt touch,Control,,happiness,Precision,0.8461538461538461,-0.0032315073340681844,0.10366666737588234,0.6003908472431618,1
felt touch,Control,,happiness,Specificity,0.9158878504672897,7.545581365020482e-4,0.02652701953883137,0.8586170363372483,0.9636363636363636
felt touch,Control,,happiness,F1,0.6666666666666667,-0.007614422735552351,0.09925595396145358,0.44444444444444436,0.8332300606877825
felt touch,Control,,happiness,F1chance,0.2857142857142857,-0.0029697104484551207,0.048852516100749706,0.18181818181818182,0.37837837837837834
felt touch,Control,,calming,Recall,0.55,-0.004557135219715014,0.11214721326468986,0.32,0.7647058823529411
felt touch,Control,,calming,Precision,0.4230769230769231,-0.003081510456546477,0.09898051137047567,0.2222222222222222,0.6189545601801997
felt touch,Control,,calming,Specificity,0.9042553191489362,-1.8327482332025635e-4,0.029573256208624638,0.8431528217345622,0.956989247311828
felt touch,Control,,calming,F1,0.47826086956521735,-0.009556987321249433,0.09134942913337893,0.2727272727272727,0.6341463414634148
felt touch,Control,,calming,F1chance,0.2857142857142857,-0.002909741452432446,0.04857257012578845,0.18181818181818182,0.37837837837837834
felt touch,Control,,sadness,Recall,0.2,0.0024337590511057383,0.09159110867175808,0.045454545454545456,0.3997790863408219
felt touch,Control,,sadness,Precision,0.5,0.004641626429126466,0.18774446575518144,0.12545366197867006,0.8571428571428571
felt touch,Control,,sadness,Specificity,0.8571428571428571,-7.466890834199047e-4,0.03394783463392801,0.7894736842105263,0.9230769230769231
felt touch,Control,,sadness,F1,0.28571428571428575,-0.004761620156052804,0.11188689453198868,0.07407407407407407,0.5
felt touch,Control,,sadness,F1chance,0.2857142857142857,1.8788799508223653e-4,0.051446759159781565,0.18181818181818182,0.37837837837837834
felt touch,Control,,gratitude,Recall,0.1,-6.476586748732638e-5,0.06969410687916806,0,0.2631578947368421
felt touch,Control,,gratitude,Precision,0.3333333333333333,-0.005266006216006203,0.21230237544620503,0,0.75
felt touch,Control,,gratitude,Specificity,0.8421052631578947,4.922821557585833e-4,0.0341822047391703,0.7758620689655172,0.9067796610169492
felt touch,Control,,gratitude,F1,0.15384615384615383,-0.005619750212157021,0.09666960975266195,0,0.35714285714285715
felt touch,Control,,gratitude,F1chance,0.2857142857142857,-0.00230526575545692,0.0498573746105244,0.18216548285448425,0.37837837837837834
viewed touch,Control,,attention,Recall,1,0,0,NA,NA
viewed touch,Control,,attention,Precision,0.6363636363636364,-0.006601787585602703,0.08394117426047835,0.4546702951882335,0.7878787878787878
viewed touch,Control,,attention,Specificity,1,0,0,NA,NA
viewed touch,Control,,attention,F1,0.7777777777777778,-0.008245403617657021,0.06419667071529336,0.6251176160685441,0.8813559322033898
viewed touch,Control,,attention,F1chance,0.2857142857142857,-0.002234491998434507,0.04955708678874175,0.1870503597122302,0.37419354838709673
viewed touch,Control,,love,Recall,0.7142857142857143,7.452232557036975e-4,0.10050751819903676,0.5,0.9
viewed touch,Control,,love,Precision,0.8823529411764706,-0.0029086911620035405,0.0826498018447873,0.7142857142857143,1
viewed touch,Control,,love,Specificity,0.944954128440367,-5.6813848188230764e-6,0.02141658822211179,0.8990825688073395,0.9823008849557522
viewed touch,Control,,love,F1,0.7894736842105262,-0.0055557672135515546,0.07606783947001687,0.6060606060606061,0.9166666666666666
viewed touch,Control,,love,F1chance,0.2857142857142857,-6.654464737414489e-4,0.04759592177084782,0.1870503597122302,0.3843506171280818
viewed touch,Control,,happiness,Recall,0.47619047619047616,-0.0019197445250809242,0.11387357172230171,0.26092770039085933,0.7083333333333334
viewed touch,Control,,happiness,Precision,0.9090909090909091,0.0031302613294335035,0.09135949179116346,0.7,1
viewed touch,Control,,happiness,Specificity,0.9043478260869565,-3.7590325359859733e-4,0.028761767351172144,0.8468468468468469,0.9568870295836561
viewed touch,Control,,happiness,F1,0.6249999999999999,-0.009196928912148516,0.10587722904621479,0.39999999999999997,0.8107781144519879
viewed touch,Control,,happiness,F1chance,0.2857142857142857,-0.0017210426669299062,0.050172889223482633,0.1870503597122302,0.37419354838709673
viewed touch,Control,,calming,Recall,0.8571428571428571,-0.00393645567894596,0.07969571074636214,0.6666666666666666,1
viewed touch,Control,,calming,Precision,0.4864864864864865,-0.005553712355502727,0.08385850249692943,0.3200362929582936,0.6578947368421053
viewed touch,Control,,calming,Specificity,0.9662921348314607,-7.885243492701255e-4,0.019632620723111834,0.9230769230769231,1
viewed touch,Control,,calming,F1,0.6206896551724138,-0.010029040896312957,0.076538199939839055,0.4482937403735436,0.7547012650350724
viewed touch,Control,,calming,F1chance,0.2857142857142857,-0.003411619376645969,0.04986513922608943,0.1870503597122302,0.37419354838709673
viewed touch,Control,,sadness,Recall,0.23809523809523808,-0.006317084510362003,0.09025626259911018,0.06260585446168968,0.4209412058298005
viewed touch,Control,,sadness,Precision,0.7142857142857143,-0.005452593240093284,0.18484327251595567,0.3333333333333333,1
viewed touch,Control,,sadness,Specificity,0.865546218487395,-0.001459098367208922,0.031481451885724904,0.7964639875612428,0.9210526315789473
viewed touch,Control,,sadness,F1,0.35714285714285715,-0.015267486123919372,0.11431209524272834,0.10526315789473684,0.5517241379310345
viewed touch,Control,,sadness,F1chance,0.2857142857142857,-5.317247185805951e-4,0.049283896710410856,0.1870503597122302,0.3846153846153846
viewed touch,Control,,gratitude,Recall,0.09523809523809523,8.180117977683865e-4,0.06858296001425218,0,0.25
viewed touch,Control,,gratitude,Precision,0.2857142857142857,-0.0019764263514263636,0.19001474921235514,0,0.7
viewed touch,Control,,gratitude,Specificity,0.8403361344537815,-9.082369312531924e-4,0.03362462545772071,0.7666812672820722,0.9031648505365903
viewed touch,Control,,gratitude,F1,0.14285714285714285,-0.0036137855170991495,0.093842323527510485,0,0.3478260869565218
viewed touch,Control,,gratitude,F1chance,0.2857142857142857,1.0631073882044761e-4,0.048507182838199735,0.1870503597122302,0.3846153846153846
viewed touch,ASD,,attention,Recall,0.9375,3.16742102104528e-4,0.06239891127338022,0.7858097934992688,1
viewed touch,ASD,,attention,Precision,0.5555555555555556,-0.0051641697044593204,0.09764206090824262,0.35,0.7367529646638403
viewed touch,ASD,,attention,Specificity,0.9855072463768116,2.5097658775086185e-4,0.014412305230859745,0.953125,1
viewed touch,ASD,,attention,F1,0.6976744186046512,-0.009291703195959955,0.08364642773694413,0.5,0.8333333333333333
viewed touch,ASD,,attention,F1chance,0.2857142857142857,-0.004032804097901688,0.05625810682420278,0.17142857142857143,0.3865546218487395
viewed touch,ASD,,love,Recall,0.875,7.823520143203089e-4,0.083429171587509815,0.6875,1
viewed touch,ASD,,love,Precision,1,0,0,NA,NA
viewed touch,ASD,,love,Specificity,0.975609756097561,7.074584472599454e-5,0.017059839888157582,0.9375,1
viewed touch,ASD,,love,F1,0.9333333333333333,-0.0017319670736383186,0.0490990000743598,0.8148148148148148,1
viewed touch,ASD,,love,F1chance,0.2857142857142857,-0.0014499730154726165,0.05600962888875796,0.17142857142857143,0.4
viewed touch,ASD,,happiness,Recall,0.625,-0.001791856810723469,0.12521741838259565,0.375,0.8571428571428571
viewed touch,ASD,,happiness,Precision,1,0,0,NA,NA
viewed touch,ASD,,happiness,Specificity,0.9302325581395349,-3.0567876270182204e-4,0.027593888134530384,0.8705882352941177,0.9772727272727273
viewed touch,ASD,,happiness,F1,0.7692307692307693,-0.00889918084535779,0.09846334553350027,0.5454545454545454,0.923076923076923
viewed touch,ASD,,happiness,F1chance,0.2857142857142857,-0.0017192882736656867,0.056525968655430525,0.17142857142857143,0.3865546218487395
viewed touch,ASD,,calming,Recall,0.9375,-0.0017091228560006666,0.061277695259684156,0.7858097934992688,1
viewed touch,ASD,,calming,Precision,0.5172413793103449,0.0026093659831842864,0.09561958890051929,0.3333333333333333,0.6999230149369531
viewed touch,ASD,,calming,Specificity,0.9850746268656716,-4.62474605943175e-4,0.014436079471156132,0.951632415568975,1
viewed touch,ASD,,calming,F1,0.6666666666666667,-0.0034034390527977187,0.08512318236266324,0.4738004808732517,0.8085106382978724
viewed touch,ASD,,calming,F1chance,0.2857142857142857,3.2624222907712275e-4,0.057885457270985693,0.17142857142857143,0.4
viewed touch,ASD,,sadness,Recall,0,0,0,NA,NA
viewed touch,ASD,,sadness,Precision,0,0,0,NA,NA
viewed touch,ASD,,sadness,Specificity,0.8297872340425532,6.721417478383618e-5,0.03849025077633305,0.7553191489361702,0.9032258064516129
viewed touch,ASD,,sadness,F1,0,0,0,NA,NA
viewed touch,ASD,,sadness,F1chance,0.2857142857142857,-0.001731724015085978,0.05518183647300675,0.17142857142857143,0.3865546218487395
viewed touch,ASD,,gratitude,Recall,0.0625,9.096135636373209e-4,0.06396154985908349,0,0.21052631578947367
