experiment,PID,group,Experimenter,task,trial,cued,response
felt touch,asd02,ASD,3,forced choice,38,calming,calming
felt touch,asd02,ASD,3,forced choice,39,gratitude,attention
felt touch,asd02,ASD,3,forced choice,40,sadness,sadness
felt touch,asd02,ASD,3,forced choice,41,attention,attention
felt touch,asd02,ASD,3,forced choice,42,love,love
felt touch,asd02,ASD,3,forced choice,43,sadness,sadness
felt touch,asd02,ASD,3,forced choice,44,attention,attention
felt touch,asd02,ASD,3,forced choice,45,calming,calming
felt touch,asd02,ASD,3,forced choice,46,love,love
felt touch,asd02,ASD,3,forced choice,47,happiness,other
felt touch,asd02,ASD,3,forced choice,48,gratitude,attention
felt touch,asd02,ASD,3,forced choice,49,love,calming
felt touch,asd02,ASD,3,forced choice,50,attention,attention
felt touch,asd02,ASD,3,forced choice,51,gratitude,attention
felt touch,asd02,ASD,3,forced choice,52,sadness,sadness
felt touch,asd02,ASD,3,forced choice,53,happiness,happiness
felt touch,asd02,ASD,3,forced choice,54,calming,calming
felt touch,asd02,ASD,3,forced choice,55,gratitude,attention
felt touch,asd02,ASD,3,forced choice,56,sadness,attention
felt touch,asd02,ASD,3,forced choice,57,attention,attention
felt touch,asd02,ASD,3,forced choice,58,love,love
felt touch,asd02,ASD,3,forced choice,59,happiness,happiness
felt touch,asd02,ASD,3,forced choice,60,calming,sadness
felt touch,asd03,ASD,3,forced choice,1,love,calming
felt touch,asd03,ASD,3,forced choice,2,sadness,sadness
felt touch,asd03,ASD,3,forced choice,3,attention,attention
felt touch,asd03,ASD,3,forced choice,4,calming,calming
felt touch,asd03,ASD,3,forced choice,5,happiness,attention
felt touch,asd03,ASD,3,forced choice,6,gratitude,attention
felt touch,asd03,ASD,3,forced choice,7,love,calming
felt touch,asd03,ASD,3,forced choice,8,sadness,sadness
felt touch,asd03,ASD,3,forced choice,9,attention,attention
felt touch,asd03,ASD,3,forced choice,10,happiness,attention
felt touch,asd03,ASD,3,forced choice,11,gratitude,attention
felt touch,asd03,ASD,3,forced choice,12,calming,love
felt touch,asd03,ASD,3,forced choice,13,happiness,attention
felt touch,asd03,ASD,3,forced choice,14,gratitude,attention
felt touch,asd03,ASD,3,forced choice,15,attention,attention
felt touch,asd03,ASD,3,forced choice,16,sadness,sadness
felt touch,asd03,ASD,3,forced choice,17,love,calming
felt touch,asd03,ASD,3,forced choice,18,calming,love
felt touch,asd03,ASD,3,forced choice,19,love,calming
felt touch,asd03,ASD,3,forced choice,20,gratitude,attention
felt touch,asd03,ASD,3,forced choice,21,calming,love
felt touch,asd03,ASD,3,forced choice,22,attention,attention
felt touch,asd03,ASD,3,forced choice,23,sadness,sadness
felt touch,asd03,ASD,3,forced choice,24,happiness,attention
felt touch,asd03,ASD,3,forced choice,25,calming,love
felt touch,asd03,ASD,3,forced choice,26,love,calming
felt touch,asd03,ASD,3,forced choice,27,attention,attention
felt touch,asd03,ASD,3,forced choice,28,gratitude,attention
felt touch,asd03,ASD,3,forced choice,29,sadness,sadness
felt touch,asd03,ASD,3,forced choice,30,happiness,attention
felt touch,asd03,ASD,3,forced choice,31,attention,attention
felt touch,asd03,ASD,3,forced choice,32,calming,love
felt touch,asd03,ASD,3,forced choice,33,gratitude,attention
felt touch,asd03,ASD,3,forced choice,34,sadness,sadness
felt touch,asd03,ASD,3,forced choice,35,happiness,attention
felt touch,asd03,ASD,3,forced choice,36,love,calming
