experiment,PID,group,Experimenter,task,trial,cued,response
felt touch,asd16,ASD,1,forced choice,5,attention,6.800000000000001
felt touch,asd16,ASD,1,forced choice,6,happiness,-8.2
felt touch,asd17,ASD,3,forced choice,1,gratitude,6.899999999999999
felt touch,asd17,ASD,3,forced choice,2,attention,-5.4
felt touch,asd17,ASD,3,forced choice,3,sadness,9.8
felt touch,asd17,ASD,3,forced choice,4,love,10
felt touch,asd17,ASD,3,forced choice,5,happiness,-7.3
felt touch,asd17,ASD,3,forced choice,6,calming,6.199999999999999
felt touch,asd18,ASD,3,forced choice,1,attention,-5.4
felt touch,asd18,ASD,3,forced choice,2,gratitude,-2.3
felt touch,asd18,ASD,3,forced choice,3,calming,2.4000000000000004
felt touch,asd18,ASD,3,forced choice,4,sadness,-0.5
felt touch,asd18,ASD,3,forced choice,5,love,-0.1999999999999993
felt touch,asd18,ASD,3,forced choice,6,happiness,-9.3
felt touch,asd20,ASD,3,forced choice,1,love,0.8000000000000007
felt touch,asd20,ASD,3,forced choice,2,calming,-3.9
felt touch,asd20,ASD,3,forced choice,3,gratitude,-1.9000000000000004
felt touch,asd20,ASD,3,forced choice,4,sadness,1.0999999999999996
felt touch,asd20,ASD,3,forced choice,5,attention,-0.5
felt touch,asd20,ASD,3,forced choice,6,happiness,1
felt touch,asd20a,ASD,1,forced choice,1,attention,-2.5
felt touch,asd20a,ASD,1,forced choice,2,calming,-0.6999999999999993
felt touch,asd20a,ASD,1,forced choice,3,love,-5.7
felt touch,asd20a,ASD,1,forced choice,4,gratitude,-0.3000000000000007
felt touch,asd20a,ASD,1,forced choice,5,happiness,-9.1
felt touch,asd20a,ASD,1,forced choice,6,sadness,-0.09999999999999964
felt touch,asd21,ASD,1,forced choice,1,love,8.399999999999999
felt touch,asd21,ASD,1,forced choice,2,happiness,6.199999999999999
felt touch,asd21,ASD,1,forced choice,3,sadness,4
felt touch,asd21,ASD,1,forced choice,4,gratitude,3.8000000000000007
felt touch,asd21,ASD,1,forced choice,5,attention,1.3000000000000007
felt touch,asd21,ASD,1,forced choice,6,calming,7.100000000000001
felt touch,asd22,ASD,1,forced choice,1,attention,9.6
felt touch,asd22,ASD,1,forced choice,2,gratitude,2.1999999999999993
felt touch,asd22,ASD,1,forced choice,3,love,-2.7
felt touch,asd22,ASD,1,forced choice,4,sadness,0.5999999999999996
felt touch,asd22,ASD,1,forced choice,5,calming,0.1999999999999993
felt touch,asd22,ASD,1,forced choice,6,happiness,1.5999999999999996
felt touch,asd23,ASD,3,forced choice,1,calming,-5.6
felt touch,asd23,ASD,3,forced choice,2,gratitude,0.09999999999999964
felt touch,asd23,ASD,3,forced choice,3,sadness,5.199999999999999
felt touch,asd23,ASD,3,forced choice,4,attention,-0.09999999999999964
felt touch,asd23,ASD,3,forced choice,5,love,-0.09999999999999964
felt touch,asd23,ASD,3,forced choice,6,happiness,1.4000000000000004
felt touch,asd25,ASD,3,forced choice,1,sadness,3
felt touch,asd25,ASD,3,forced choice,2,attention,-4.8
felt touch,asd25,ASD,3,forced choice,3,calming,7.600000000000001
felt touch,asd25,ASD,3,forced choice,4,love,-2.3
felt touch,asd25,ASD,3,forced choice,5,gratitude,-3.8
felt touch,asd25,ASD,3,forced choice,6,happiness,-8.8
felt touch,asd26,ASD,3,forced choice,1,love,4.6
felt touch,asd26,ASD,3,forced choice,2,sadness,7.300000000000001
